Категориальные атрибуты (номера столбцов):0,1,2,3
Целевая переменная:4
Количество классов:2
Температура	Влажность	Ветер	Погода	Игра
Жарко	Высокая	Нет	Солнце	Нет
Жарко	Высокая	Да	Солнце	Нет
Жарко	Высокая	Нет	Облачность	Да
Норма	Высокая	Нет	Дождь	Да
Холодно	Норма	Нет	Дождь	Да
Холодно	Норма	Да	Дождь	Нет
Холодно	Норма	Да	Облачность	Да
Норма	Высокая	Нет	Солнце	Нет
Холодно	Норма	Нет	Солнце	Да
Норма	Норма	Нет	Дождь	Да
Норма	Норма	Да	Солнце	Да
Норма	Высокая	Да	Облачность	Да
Жарко	Норма	Нет	Облачность	Да
Норма	Высокая	Да	Дождь	Нет
